	id	dk1	dk2	z	logFluxUV	logFluxErrUV	logFluxX	logFluxErrX	dk3	dk4	dk5	dk6	dk7
520	163352.34+402115.6	248.46809	40.35435	0.7821	-27.2709	0.00784	-31.03354	0.01133	5	1.8639	0.07712	43.068197	0.10286
521	162906.84+393240.5	247.27853	39.5446	0.783	-27.814	0.01471	-31.43211	0.02542	5	2.30284	0.19517	43.472933	0.194916
522	114924.62+561354.2	177.353	56.2317	0.7836	-27.1869	0.01087	-31.4034	0.03436	6	2.01191	0.13219	45.850899	0.240006
523	015730.93+320747.1	29.37888	32.12978	0.784	-28.088	0.02234	-31.48226	0.023	5	2.49276	0.17635	42.681891	0.20855
524	120611.15+495700.3	181.54649	49.95009	0.7843	-27.1837	0.01171	-31.55351	0.02447	5	2.21797	0.17756	46.853807	0.187935
525	111217.52+133001.2	168.07301	13.50034	0.785	-28.0091	0.01539	-31.47567	0.02241	5	2.05746	0.19749	42.961445	0.189041
526	112029.40+132357.6	170.12254	13.39936	0.786	-27.6106	0.01372	-31.45221	0.02471	5	2.18327	0.25861	44.438167	0.181395
527	N_60_10	37.17585	-5.59094	0.7861	-27.97922	0.01822	-31.48707	0.04806	4	2.2928	0.30507	43.158941	0.338819
528	022317.71-024805.7	35.82382	-2.8016	0.789	-27.4576	0.01221	-31.74268	0.04372	5	1.98141	0.19307	46.979857	0.301566
529	144447.78+015412.3	221.1991	1.90342	0.789	-28.0861	0.02044	-31.30999	0.01519	5	1.89066	0.08935	41.553741	0.188382
530	N_12_36	36.34741	-3.0456	0.7893	-27.76056	0.02017	-31.70683	0.05365	4	2.16613	0.39394	45.503183	0.366995
531	122842.74+074955.3	187.17809	7.83205	0.791	-27.8379	0.01491	-31.41752	0.01922	5	2.22811	0.16064	43.278884	0.163911
532	090420.88+013038.0	136.08702	1.51057	0.7919	-26.365	0.0072	-30.8349	0.01693	5	2.52513	0.13245	45.467039	0.150942
533	125711.97+274216.4	194.29988	27.70457	0.7925	-27.1324	0.00868	-31.08573	0.02164	5	2.13094	0.18174	43.979336	0.155989
534	115822.12+495641.4	179.59218	49.94486	0.7926	-27.7856	0.01859	-31.66782	0.04563	5	2.48964	0.49461	45.143444	0.315059
535	092245.79+510251.6	140.691	51.0477	0.793	-27.6319	0.01465	-31.2069	0.03815	6	1.90685	0.13641	42.73342	0.272139
536	121942.48+034530.3	184.92702	3.75842	0.7942	-27.3386	0.00937	-31.0314	0.01752	5	2.65554	0.16586	42.77693	0.140547
537	091304.83+530146.1	138.27015	53.02947	0.795	-27.3651	0.00916	-31.1902	0.02777	5	2.44816	0.25527	43.715551	0.195626
538	222843.99+203146.6	337.18333	20.52964	0.7955	-27.4591	0.01072	-31.13303	0.01583	5	2.1408	0.10451	42.953754	0.134407
539	083926.98+294213.7	129.86243	29.70382	0.7964	-27.4873	0.00916	-31.17703	0.02439	5	2.3391	0.2292	43.128437	0.179599
540	014210.80-005901.5	25.545	-0.98376	0.7965	-27.7028	0.01342	-31.7435	0.08632	6	2.3768	0.40984	45.981443	0.574279
541	140657.31+222008.7	211.73881	22.33575	0.7973	-27.836	0.01397	-31.3374	0.0169	5	1.92901	0.13109	42.75836	0.157054
542	234723.07-021004.1	356.84614	-2.16781	0.798	-27.5037	0.01074	-31.22931	0.01952	5	1.90388	0.14105	43.406026	0.151486
543	093751.07+521146.4	144.463	52.1962	0.8011	-27.7665	0.01399	-31.3255	0.05884	6	1.92906	0.20491	42.964418	0.401695
544	233139.33-001516.7	352.91388	-0.25466	0.8014	-26.94	0.00933	-30.89155	0.0351	5	2.34565	0.26484	43.486598	0.240285
545	022919.56-050438.5	37.33154	-5.07737	0.802	-27.902	0.01867	-31.74023	0.04304	5	2.35963	0.34657	45.144379	0.299353
546	151224.59+053818.5	228.10248	5.63848	0.8021	-27.0662	0.00742	-31.32675	0.01936	5	2.36093	0.15249	45.839609	0.148831
547	161530.75+073105.4	243.87813	7.51817	0.8025	-27.1565	0.00867	-31.34598	0.07553	5	2.65071	0.63862	45.596732	0.50324
548	123035.47+153510.7	187.64781	15.58631	0.8028	-27.0859	0.01652	-30.80406	0.02165	5	2.05069	0.16193	42.312401	0.171776
549	114240.93+601550.4	175.67058	60.26403	0.8034	-26.9417	0.01755	-30.8229	0.01183	5	2.34417	0.08872	43.026969	0.119141
550	123142.56+255401.3	187.92734	25.90037	0.8035	-27.1931	0.00906	-31.86651	0.04039	5	1.97408	0.25958	48.879211	0.297471
551	124931.74+304000.3	192.382	30.6668	0.805	-28.2136	0.0261	-31.4807	0.02881	6	2.04616	0.11871	42.157413	0.253381
552	082729.33+263409.5	126.87224	26.56932	0.805	-27.5958	0.01297	-31.33207	0.02602	5	2.14302	0.231	43.706567	0.191203
553	N_67_29	35.26281	-5.75532	0.8064	-27.45505	0.01412	-31.27	0.0264	4	1.93346	0.12418	43.873499	0.192527
554	130207.79+585431.3	195.53249	58.90871	0.8071	-26.8328	0.00787	-31.23962	0.04257	5	2.76266	0.42414	46.220597	0.296083
555	134624.66+581209.1	206.60278	58.20254	0.808	-27.6789	0.0153	-31.90673	0.0448	5	2.3089	0.44163	47.155607	0.309246
556	221821.88-081329.8	334.59119	-8.22496	0.8081	-26.9874	0.00772	-30.84224	0.02074	5	2.1413	0.16778	42.967404	0.151025
557	232325.92-010052.9	350.858	-1.01472	0.8081	-27.8522	0.01937	-31.31489	0.01637	5	1.79844	0.08247	42.543611	0.167277
558	085640.38+015116.9	134.16826	1.85471	0.8087	-26.9821	0.00712	-30.65841	0.00599	5	2.25987	0.04463	41.776947	0.087256
559	120018.96+553348.3	180.079	55.5634	0.811	-27.9784	0.01615	-31.41745	0.02897	6	1.87755	0.1063	42.703232	0.227145
560	N_20_6	35.2518	-4.95495	0.8111	-27.98076	0.02173	-31.51736	0.03515	4	2.1063	0.18551	43.352365	0.264035
561	032100.74-005847.6	50.25312	-0.9799	0.8115	-27.5793	0.01469	-31.30798	0.01832	5	2.41059	0.16044	43.615269	0.150381
562	094905.15+165543.2	147.271	16.9287	0.8116	-26.8965	0.01433	-30.858	0.03252	6	2.28784	0.12261	43.443458	0.228305
563	151535.47+365549.6	228.89783	36.93047	0.8116	-27.193	0.00871	-30.94936	0.02309	5	2.20665	0.22857	42.832038	0.168811
564	102411.01+471753.5	156.04589	47.29822	0.812	-27.6002	0.01384	-31.33896	0.02405	5	2.65375	0.25479	43.733985	0.180632
565	163219.28+243259.5	248.08035	24.54989	0.8136	-27.2143	0.00711	-31.27804	0.02645	5	2.451	0.21644	44.912117	0.184849
566	231233.52+183425.9	348.13969	18.57389	0.814	-27.4893	0.01892	-31.29569	0.04968	5	2.16833	0.40518	43.90268	0.341778
567	100640.34+125147.1	151.66812	12.86309	0.8147	-27.1344	0.00765	-31.08751	0.03164	5	2.04806	0.22711	43.982885	0.217294
568	221915.33+122204.4	334.81389	12.3679	0.815	-27.9572	0.02128	-31.50313	0.03927	5	2.33329	0.39954	43.354986	0.28722
569	155726.57+270223.0	239.36072	27.03974	0.8153	-27.2121	0.008	-31.00196	0.01062	5	2.05052	0.05792	43.100683	0.098192
570	082714.80+291211.9	126.812	29.2033	0.8165	-27.889	0.01617	-31.186	0.04294	6	1.86969	0.16948	41.54307	0.316374
571	123410.72+111732.6	188.545	11.2924	0.8166	-27.1062	0.01159	-31.0186	0.04664	6	2.14043	0.20268	43.643948	0.315658
572	091020.40+600215.0	137.585	60.0375	0.8174	-26.7394	0.01076	-30.6635	0.01229	6	2.00895	0.04583	42.804096	0.1062
573	114244.90+505827.9	175.687	50.9744	0.8174	-27.5496	0.01117	-31.298	0.03322	6	2.00831	0.13964	43.67105	0.232846
574	N_96_22	33.54274	-3.52627	0.8185	-27.77847	0.01494	-31.61273	0.04141	4	1.92329	0.19485	44.809376	0.285582
575	141830.20+522212.4	214.626	52.3701	0.82	-28.1247	0.02039	-31.2586	0.02683	6	2.06179	0.09999	41.056857	0.246398
576	081014.48+280337.1	122.56034	28.06031	0.821	-26.8168	0.00915	-30.47332	0.01209	5	2.02235	0.08443	41.233204	0.115343
577	142738.36+325320.0	216.91	32.8889	0.8224	-27.5562	0.01335	-30.8094	0.01908	6	1.81261	0.06511	40.422258	0.18991
578	090916.57+544030.5	137.31906	54.67515	0.8245	-27.8924	0.01283	-31.52883	0.02522	5	1.96364	0.22254	43.789733	0.1906
579	122518.24+181821.6	186.32603	18.30603	0.8247	-27.1586	0.00788	-31.26098	0.02108	5	2.41522	0.20328	45.027654	0.153275
580	010440.76+020110.4	16.16987	2.01957	0.825	-27.3899	0.01068	-31.20253	0.0177	5	2.00023	0.11867	43.695326	0.137754
581	N_19_47	35.32691	-4.37741	0.8269	-27.63468	0.02286	-31.23562	0.02435	4	1.99195	0.11697	42.911416	0.202878
582	004341.48+005609.9	10.9229	0.93611	0.83	-27.5927	0.01443	-30.7783	0.03406	6	2.13639	0.14629	40.067761	0.272078
583	N_86_37	34.11856	-4.02975	0.8308	-27.19782	0.01141	-30.86097	0.01728	4	2.01106	0.08149	42.229472	0.143504
584	143353.08+354928.4	218.47118	35.82458	0.8309	-27.3064	0.01032	-31.75905	0.04649	5	2.15057	0.39436	47.706795	0.323644
585	091843.66+211819.8	139.68195	21.30552	0.8309	-27.8594	0.01384	-31.59277	0.02688	5	1.98901	0.16941	44.346444	0.1974
586	020726.26+015426.2	31.85945	1.9073	0.8315	-27.6077	0.01052	-31.47819	0.03107	5	2.59988	0.57233	44.621348	0.216414
587	111832.89+074901.4	169.637	7.81708	0.836	-27.9665	0.01735	-31.2316	0.0241	6	2.02321	0.1023	41.526475	0.216965
588	085427.76+022401.8	133.616	2.40053	0.8362	-27.2535	0.00955	-31.2507	0.05596	6	2.38972	0.26958	44.571359	0.374687
589	121102.08+390706.3	182.75867	39.11843	0.8367	-27.4522	0.01236	-31.30689	0.0269	5	2.17655	0.17459	44.128415	0.192693
590	102816.32+533542.8	157.068	53.59525	0.837	-27.7439	0.01427	-31.57523	0.03871	5	2.26412	0.3669	44.703631	0.268043
